epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,0.0072114611975848675,0.305,0.6248488759994507,0.6115,0.07186142899809056
2,0.004678215831518173,0.41,0.4542996796369553,0.743,0.0374247040017508
3,0.003242233069613576,0.581,0.3138248265981674,0.9185,0.03811226800098666
4,0.0021755907218903303,0.817,0.21294256460666655,0.976,0.04056515900083468
5,0.0014191409572958946,0.932,0.148881651699543,0.9935,0.039013080997392535
6,0.0009315356728620827,0.981,0.11093594270944596,0.999,0.03185724599825335
7,0.0006282863323576748,0.995,0.08869653284549713,0.9995,0.03199071400013054
8,0.0004349914379417896,0.996,0.07514259308576583,0.9985,0.03227627799788024
9,0.00030073136440478265,0.993,0.06646918404102325,0.9985,0.03152478400079417
10,0.00019402448378968984,0.993,0.060805436193943026,0.998,0.0304430880023574
11,0.00010241846030112356,0.991,0.057371357262134555,0.997,0.032549947001825785
12,8.239433554990683e-06,0.99,0.0558771693110466,0.996,0.030094338002527365
13,-9.523478365736082e-05,0.986,0.056463486969470976,0.9935,0.029839332000847207
14,-0.00022372559760697186,0.985,0.05960012918710709,0.9915,0.029914164999354398
15,-0.0003860298602376133,0.981,0.06584690415859222,0.987,0.030213898000511108
16,-0.0005964692099951208,0.98,0.07601577723026276,0.9775,0.030137399000523146
17,-0.0008638658910058439,0.978,0.09088351893424988,0.9665,0.03013450399885187
18,-0.0011759110493585467,0.975,0.11088985013961793,0.9555,0.03001477799989516
19,-0.0015219001797959208,0.971,0.13520718836784362,0.9435,0.029966152000270085
20,-0.0018983123591169715,0.964,0.16260189580917359,0.9325,0.029727622000791598
21,-0.0022822862956672907,0.958,0.19037105607986451,0.9225,0.030224351001379546
22,-0.0026802243664860725,0.952,0.21594108057022093,0.911,0.029811292999511352
23,-0.0031120898202061653,0.95,0.237661447763443,0.903,0.029900351997639518
24,-0.0035309758968651295,0.948,0.25465695667266847,0.9,0.029810101001203293
25,-0.00401343172416091,0.947,0.2670285773277283,0.899,0.02945977600029437
26,-0.004507877863943577,0.945,0.27563145780563353,0.8975,0.0300138769998739
27,-0.005021876655519009,0.945,0.28132602214813235,0.8965,0.02998552999997628
28,-0.005589280277490616,0.946,0.28622721242904664,0.8965,0.029677090999030042
29,-0.006192033179104328,0.947,0.2916864433288574,0.899,0.03000832199904835
30,-0.006783549208194017,0.948,0.30005544710159304,0.897,0.02988335699774325
31,-0.007402873132377863,0.948,0.312324969291687,0.8955,0.029875158998038387
32,-0.008046932518482208,0.946,0.32978282070159914,0.8915,0.03013217199986684
33,-0.008737503550946712,0.944,0.35424195337295533,0.8885,0.030076645998633467
34,-0.009482072666287422,0.943,0.3874940996170044,0.88,0.02999688999989303
35,-0.010358165949583054,0.938,0.4319678111076355,0.867,0.029975707999255974
36,-0.011477557010948658,0.931,0.48955493307113646,0.8585,0.029717071000050055
37,-0.012739145196974277,0.924,0.5579428100585937,0.843,0.0300091249991965
38,-0.014203507453203201,0.919,0.632884259223938,0.827,0.029952658998809056
39,-0.015699120238423347,0.914,0.702242003440857,0.8085,0.029997800000273855
40,-0.017127985134720802,0.906,0.7533384246826171,0.7995,0.03003406000061659
41,-0.01858915388584137,0.902,0.7789974479675293,0.7985,0.4065727289998904
42,-0.02024100534617901,0.901,0.7839074296951294,0.8,0.038705145998392254
43,-0.021873019635677338,0.902,0.7755525922775268,0.803,0.04013293900061399
44,-0.023613015189766884,0.904,0.764675895690918,0.811,0.03818207299991627
45,-0.0253831185400486,0.904,0.7614104022979736,0.813,0.03746616799980984
46,-0.02725137397646904,0.904,0.7711904363632203,0.812,0.037021083997387905
47,-0.029060136526823044,0.903,0.7983883628845215,0.809,0.04023683600098593
48,-0.031034577637910843,0.899,0.8421377916336059,0.8035,0.03665698500117287
49,-0.0330330953001976,0.896,0.8988351259231567,0.7935,0.03625839899905259
50,-0.035061903297901154,0.892,0.9587593450546265,0.7845,0.03652563000287046
